תאריך עברי,תיאור,קטגוריה,חובה,זכות,יתרה
01/12/2025,No,Revenue,,29970,29970
03/11/2025,Yes,Office Rent,1550,,28420
03/11/2025,Yes,Marketing & Advertising,3500,,24920
04/11/2025,Yes,Bank Fees & interest,,3,24923
04/11/2025,No,Revenue,,5960,30883
04/11/2025,Yes,Professional Services,1375,,29508
04/11/2025,Yes,Bank Fees & interest,3,,29505
04/12/2025,No,Revenue,,25000,54505
07/11/2025,No,Credit/Debit banks/Accounts,100000,,-45495
09/12/2025,No,Revenue,,5470,-40025
10/11/2025,Yes,Bank Fees & interest,3,,-40028
10/11/2025,Yes,Marketing & Advertising,6000,,-46028
11/12/2025,No,Revenue,,7500,-38528
12/11/2025,No,Credit/Debit banks/Accounts,,99970,61442
12/11/2025,Yes,Technology,2692,,58750
12/11/2025,No,Employee Salaries & Benefits,44612,,14138
12/11/2025,Yes,Marketing & Advertising,15000,,-862
12/12/2025,Yes,Marketing & Advertising,,12500,11638
12/12/2025,Yes,Professional Services,400,,11238
12/12/2025,Yes,Marketing & Advertising,15000,,-3762
12/12/2025,Yes,Professional Services,251,,-4013
12/12/2025,No,Employee Salaries & Benefits,62481,,-66494
12/12/2025,No,Revenue,,12500,-53994
13/11/2025,Yes,Authorities,185,,-54179
13/11/2025,No,Revenue,,2000,-52179
15/12/2025,No,Credit/Debit banks/Accounts,,179970,127791
15/12/2025,No,Revenue,,11468,139259
16/12/2025,No,Revenue,,6000,145259
16/12/2025,Yes,Bank Fees & interest,180,,145079
17/11/2025,Yes,Bank Fees & interest,71,,145008
17/11/2025,Yes,Marketing & Advertising,6743,,138265
17/11/2025,Yes,Vendors,15000,,123265
19/11/2025,Yes,Professional Services,3000,,120265
19/11/2025,Yes,Marketing & Advertising,2151,,118114
21/11/2025,No,Revenue,,20000,138114
21/11/2025,No,Revenue,,68000,206114
22/12/2025,No,Revenue,,24000,230114
24/10/2025,No,Revenue,,36000,266114
24/12/2025,No,Revenue,,30000,296114
25/11/2025,Yes,Marketing & Advertising,12500,,283614
25/11/2025,Yes,Professional Services,17618,,265996
25/11/2025,No,Revenue,,18000,283996
26/11/2025,No,Employee Salaries & Benefits,20236,,263760
26/12/2025,No,Investment,,7466995,7730755
26/12/2025,No,Investment,,6336001,14066756
26/12/2025,No,Investment,,728999,14795755
26/12/2025,No,Investment,,73500,14869255
26/12/2025,No,Investment,,394500,15263755
28/11/2025,No,Employee Salaries & Benefits,57846,,15205909
29/10/2025,No,Employee Salaries & Benefits,50147,,15155762
29/12/2025,No,Credit/Debit banks/Accounts,300000,,14855762
29/12/2025,Yes,Recruitment,100,,14855662
29/12/2025,No,Employee Salaries & Benefits,20734,,14834928
30/10/2025,No,Employee Salaries & Benefits,21347,,14813581
30/12/2025,No,Revenue,,64500,14878081
30/12/2025,No,Investment,,3000000,17878081
31/12/2025,Yes,Professional Services,50000,,17828081
31/12/2025,No,Employee Salaries & Benefits,58946,,17769135
31/12/2025,No,Revenue,,36000,17805135
31/12/2025,No,Revenue,,3318,17808453
31/12/2025,No,Investment,,160461,17968914
31/12/2025,No,Investment,,291750,18260664
31/12/2025,No,Investment,,1547794,19808458
31/12/2025,Yes,Bank Fees & interest,,,19808458
